,Навание блюда,Состав,Ингредиенты,Картинка
0,title,description,ingrediets,dish_img
1,"Каша из жареной манной крупы, с консервированной кукурузой","Оригинальная каша из жареной манной крупы, с консервированной кукурузой. Вкус и консистенция у такой каши - очень интересные. Благодаря обжариванию манка не склеивается в однородную массу, а ощущается отдельными крупинками. Обжаренная манка добавляет ореховые нотки, которые сочетаются с яркими кукурузными. Стоит попробовать - это интересно, вкусно и сытно!кукуруза консервированная, крупа манная, вода, соль, масло сливочное","кукуруза консервированная, крупа манная, вода, соль, масло сливочное",https://img1.russianfood.com/dycontent/images_upl/598/sm_597258.jpg
2,Блинчики с плавленым сыром и зеленью,"Отличный вариант сытного завтрака - блинчики на сметане, с вкусной сырной начинкой. С таким вкусным началом день точно будет замечательным!яйца, мука, сметана, соль, перец чёрный молотый, сыр плавленый, зелень, зелень укропа","яйца, мука, сметана, соль, перец чёрный молотый, сыр плавленый, зелень, зелень укропа",https://img1.russianfood.com/dycontent/images_upl/595/sm_594177.jpg
3,"Рулет из куриной печени, с сыром","Паштет из куриной печени, который приготовлен в виде рулета с начинкой из сыра, масла и яиц.печень куриная, сметана, лук репчатый, яйца, мука, сыр, масло сливочное, орех мускатный, соль, перец чёрный молотый, масло растительное","печень куриная, сметана, лук репчатый, яйца, мука, сыр, масло сливочное, орех мускатный, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/214/sm_213956.jpg
4,Бобовые оладьи с припёком из сосисок,"Не рецепт, а находка - оладьи из консервированной фасоли с симпатичным припёком из сосисок. Готовятся такие фасолевые оладьи быстро, а по вкусу чем-то похожи на смесь картофельного пюре и варёной куриной грудки. Кружочки сосисок в виде припёка делают оладьи аппетитнее и отлично их дополняют.фасоль консервированная, мука, яйца, сосиски, зелень укропа, соль, перец чёрный молотый, масло растительное","фасоль консервированная, мука, яйца, сосиски, зелень укропа, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/583/sm_582771.jpg
5,Паштет из куриного филе с копчёным сыром,"Сытный, вкусный и нежный паштет из куриного филе с копчёным сыром и солёным салом. Такой куриный паштет можно подать к завтраку с ломтиками поджаренного хлеба либо использовать для  фаршировки яиц, пресных профитролей или блинов.куриное филе, сало солёное, сыр копченый, лук репчатый, морковь, масло растительное, масло сливочное, лавровый лист, орех мускатный, соль, перец чёрный молотый","куриное филе, сало солёное, сыр копченый, лук репчатый, морковь, масло растительное, масло сливочное, лавровый лист, орех мускатный, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/597/sm_596908.jpg
6,"Пирог на кефире, с овощами","Пёстрый закусочный кекс-пирог на кефире – просто находка для тех, кто предпочитает несладкую выпечку и ищет альтернативу хлебу к первым блюдам. Пирог очень вкусный, но его особая изюминка в начинке: кусочки разноцветных овощей (в этом рецепте – микс замороженной кукурузы, стручковой фасоли, горошка и моркови) равномерно распределены в пористой и слегка влажной выпечке, делая срез очень красивым, а вкус – приятным и таким ощутимо овощным. Этот кекс однозначно стоит попробовать!кефир, яйца, овощи мороженые, мука, разрыхлитель, соль","кефир, яйца, овощи мороженые, мука, разрыхлитель, соль",https://img1.russianfood.com/dycontent/images_upl/575/sm_574671.jpg
7,Оладьи из кабачковой икры,"Немногие знают, что кабачковую икру можно использовать таким оригинальным способом - приготовить из неё оладьи! Так что если ещё не наступил сезон свежих кабачков и вдруг ""завалялась"" баночка кабачковой икры, воспользуйтесь этим рецептом быстрых кабачковых оладий. Оладьи из кабачковой икры получаются пышные, нежные, ароматные и очень вкусные!икра кабачковая, яйца, мука, крупа манная, сухари панировочные, сода, лимонная кислота, зелень укропа, соль, травы сухие итальянские, масло растительное","икра кабачковая, яйца, мука, крупа манная, сухари панировочные, сода, лимонная кислота, зелень укропа, соль, травы сухие итальянские, масло растительное",https://img1.russianfood.com/dycontent/images_upl/598/sm_597864.jpg
8,"Лаваш с капустой, крабовыми палочками и огурцом","Лаваш с капустой, крабовыми палочками и огурцом — сытный перекус на протяжении всего дня. Лаваш можно взять с собой на работу, в дорогу, на пикник. Овощи в начинке отлично гармонируют и дополняют друг друга, а крабовые палочки делают вкус более ярким. Сочная и ароматная начинка хорошо сочетается с тонким лавашом.лаваш, крабовые палочки, капуста белокочанная, майонез, огурцы, соль, перец чёрный молотый","лаваш, крабовые палочки, капуста белокочанная, майонез, огурцы, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/597/sm_596077.jpg
9,Несладкий молочный суп с картофельными клёцками и морковью,"Оригинальный вариант привычного блюда – несладкий молочный суп с морковью и картофельными клёцками. Такой сытный молочный супчик с овощами – прекрасное решение для бюджетного меню, ведь продукты в основе вполне доступные, да и приготовить суп совсем несложно. Добавление моркови придаёт блюду лёгкую сладковатую нотку, которая очень хорошо сочетается с молоком. Вкусно и ярко!молоко, морковь, лук репчатый, картофель, мука, яйца, соль, перец чёрный молотый, масло растительное, зелень петрушки","молоко, морковь, лук репчатый, картофель, мука, яйца, соль, перец чёрный молотый, масло растительное, зелень петрушки",https://img1.russianfood.com/dycontent/images_upl/579/sm_578841.jpg
