,Навание блюда,Состав,Ингредиенты,Картинка
0,title,description,ingrediets,dish_img
1,"Рулет из куриной печени, с сыром","Паштет из куриной печени, который приготовлен в виде рулета с начинкой из сыра, масла и яиц.печень куриная, сметана, лук репчатый, яйца, мука, сыр, масло сливочное, орех мускатный, соль, перец чёрный молотый, масло растительное","печень куриная, сметана, лук репчатый, яйца, мука, сыр, масло сливочное, орех мускатный, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/214/sm_213956.jpg
2,Паштет из куриного филе с копчёным сыром,"Сытный, вкусный и нежный паштет из куриного филе с копчёным сыром и солёным салом. Такой куриный паштет можно подать к завтраку с ломтиками поджаренного хлеба либо использовать для  фаршировки яиц, пресных профитролей или блинов.куриное филе, сало солёное, сыр копченый, лук репчатый, морковь, масло растительное, масло сливочное, лавровый лист, орех мускатный, соль, перец чёрный молотый","куриное филе, сало солёное, сыр копченый, лук репчатый, морковь, масло растительное, масло сливочное, лавровый лист, орех мускатный, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/597/sm_596908.jpg
3,Закусочный блинный торт с селедочным паштетом,"Рецепт закусочного блинного торта с начинкой из селедочного паштета.блинчики, сельдь соленая, лук репчатый, морковь, яйца, сыр сливочный, сметана, масло растительное, зелень петрушки","блинчики, сельдь соленая, лук репчатый, морковь, яйца, сыр сливочный, сметана, масло растительное, зелень петрушки",https://img1.russianfood.com/dycontent/images_upl/324/sm_323791.jpg
4,"Запеканка с картофелем, перцем и сардельками (на сковороде)","Бывают ситуации, когда готовить в духовке нет возможности. В жару не хочется этого излишнего жара, который от нее исходит. Запеканка на сковороде поможет разнообразить рацион. Она получается очень вкусной. Запеканка из картофеля со свежим болгарским перцем очень аппетитно выглядит.картофель, мука пшеничная, сардельки, яйца, сыр твёрдый, помидоры, перец болгарский, зелень, соль, перец душистый молотый, масло подсолнечное","картофель, мука пшеничная, сардельки, яйца, сыр твёрдый, помидоры, перец болгарский, зелень, соль, перец душистый молотый, масло подсолнечное",https://img1.russianfood.com/dycontent/images_upl/144/sm_143549.jpg
5,Паштет из куриных сердечек с морковкой и луком,"Всем привет, друзья! Сегодня хочу предложить вам рецепт обалденного домашнего паштета из куриных сердечек с луком и морковкой. Получается он невероятно нежным. Подавать паштет можно как закуску, или же использовать для начинки в блины. Идеально подходит на завтрак к чаю!сердце куриное, лук репчатый, морковь, масло растительное, масло сливочное, хмели-сунели, куркума, лавровый лист, перец чёрный горошком, соль, перец чёрный молотый, вода","сердце куриное, лук репчатый, морковь, масло растительное, масло сливочное, хмели-сунели, куркума, лавровый лист, перец чёрный горошком, соль, перец чёрный молотый, вода",https://img1.russianfood.com/dycontent/images_upl/590/sm_589093.jpg
6,"Суфле из куриного филе с кабачком, морковью и укропом","Рецепт диетического куриного суфле для любителей правильного питания. Суфле получается очень нежным и воздушным. Вкрапления моркови и укропа придают суфле яркий внешний вид, а кабачок добавляет сочность.куриное филе, кабачки, морковь, яйца, зелень укропа, чеснок, масло растительное, соль, перец чёрный молотый","куриное филе, кабачки, морковь, яйца, зелень укропа, чеснок, масло растительное, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/597/sm_596548.jpg
7,Вареники с брокколи и сыром фета,"Если вы любите вареники, то как насчёт того, чтобы попробовать что-то необычное? Приготовим вареники из теста на сметане и яичных желтках, с начинкой из брокколи с сыром фета. Почти пюреобразная начинка придётся по вкусу поклонникам зелёной брокколи и солоноватой феты. Привычный процесс лепки и варки не удивит чем-то новым, вот вкус — наверняка.мука, желток, сметана, вода, соль, капуста брокколи, сыр фета, чеснок, соль, перец чёрный молотый, масло сливочное, лук репчатый","мука, желток, сметана, вода, соль, капуста брокколи, сыр фета, чеснок, соль, перец чёрный молотый, масло сливочное, лук репчатый",https://img1.russianfood.com/dycontent/images_upl/530/sm_529028.jpg
8,Рис с малосольными огурцами и зеленью,"Питательное блюдо для летнего меню - рис с малосольными огурцами и зеленью. Отваренный рис, малосольные огурчики, зелёный лук и укроп прекрасно сочетаются между собой. Получается лёгкий и оригинальный вегетарианский салат со сбалансированным вкусом.рис длиннозерный, огурцы малосольные, лук зелёный, зелень укропа, масло растительное, сок лимона, соль, перец чёрный молотый","рис длиннозерный, огурцы малосольные, лук зелёный, зелень укропа, масло растительное, сок лимона, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/521/sm_520255.jpg
9,"Творожная запеканка с помидорами, яйцами и сыром","Вкусная и нежная несладкая запеканка для любителей блюд из творога. Творожно-сырно-яичная часть запеканки прекрасно сочетается c помидорами и чесноком. Разница структур двух слоёв играет ещё и разными вкусами: нежный, сливочный и слегка кислый помидорно-чесночный приятно удивят ваши вкусовые рецепторы.)помидоры, сыр пармезан, яйца, сыр фета, творог, сметана, чеснок, масло оливковое, соль, масло сливочное, базилик","помидоры, сыр пармезан, яйца, сыр фета, творог, сметана, чеснок, масло оливковое, соль, масло сливочное, базилик",https://img1.russianfood.com/dycontent/images_upl/526/sm_525971.jpg
