,Навание блюда,Состав,Ингредиенты,Картинка
0,title,description,ingrediets,dish_img
1,Лимонад,"Домашний лимонад - напиток из лимонов освежает и охлаждает!лимон, вода кипяченая, сахар","лимон, вода кипяченая, сахар",https://img1.russianfood.com/dycontent/images_upl/10/sm_9478.jpg
2,Мятное молоко,"+33... Обжигающая, тягучая, липкая жара... Не то что готовить - на кухню лишний раз заходить не хочется. Разве что минут на пять. Ровно столько времени понадобится, чтобы приготовить чудесный летний напиток: холодное, освежающее и неизменно поднимающее настроение мятное молоко. :)молоко, сахар, мята свежая","молоко, сахар, мята свежая",https://img1.russianfood.com/dycontent/images_upl/16/sm_15096.jpg
3,Молочный коктейль,"Простой рецепт молочного коктейля можно сделать особенным добавив в него фрукты, шоколад, сливки и т.д.мороженое сливочное, молоко, шоколад","мороженое сливочное, молоко, шоколад",https://img1.russianfood.com/dycontent/images_upl/97/sm_96293.jpg
4,Холодный вишнево-мятный чай,"Рецепт холодного чая со свежей мятой и вишней. Такой вишнево-мятный чай хорошо охлаждает в жаркую погоду!вишня, мята, чай черный, сахар, кипяток","вишня, мята, чай черный, сахар, кипяток",https://img1.russianfood.com/dycontent/images_upl/10/sm_9685.jpg
5,Фруктовый милк-шейк,"Фруктовый милк-шейк - это по-простому молочный коктейль с фруктами или ягодами. Этой ""мечтой детства"" можно радовать себя всю жизнь. Тем более, что вариантов этого напитка молодости может быть множество -  молочные коктейли могут быть питательными и низкокалорийными, густыми и жидкими, сладкими и не очень, но все это – очень вкусные напитки.ягоды, клубника, молоко, мороженое, йогурт","ягоды, клубника, молоко, мороженое, йогурт",https://img1.russianfood.com/dycontent/images_upl/4/sm_3013.jpg
6,"Безалкогольный коктейль ""Мохито""","Коктейль ""Мохито"" прекрасно утоляет жажду.мята свежая, лимон, лайм, сахар, лед, вода минеральная","мята свежая, лимон, лайм, сахар, лед, вода минеральная",https://img1.russianfood.com/dycontent/images_upl/124/sm_123609.jpg
7,Вино из одуванчиков,"Это вино еще не прозрачное, потому, что не успело «вызреть» и отстояться. На это ему требуется полгода. Это так долго ждать! Но и сейчас вино из одуванчиков очень приятное на вкус: сладкое с легкой кислинкой и горчинкой. Напиток женский, не крепкий.  Еще в нем много целительной силы.лимон, сахар, изюм, вода, мята, одуванчик","лимон, сахар, изюм, вода, мята, одуванчик",https://img1.russianfood.com/dycontent/images_upl/15/sm_14729.jpg
8,Сок огуречный,"Сок из огурцов очень полезен. Оздоровительные и омолаживающие свойства огуречного сока известны еще с древних времен. Огурцы на 95% состоят из так называемой ""живой воды"" - структурированная вода оптимизирует работу всех систем организма.огурцы свежие, соль","огурцы свежие, соль",https://img1.russianfood.com/dycontent/images_upl/50/sm_49167.jpg
9,Сок тыквенно-яблочный,"Отличное сочетание сладкой тыквы и ароматного яблока.тыква, яблоко","тыква, яблоко",https://img1.russianfood.com/dycontent/images_upl/50/sm_49168.jpg
10,Имбирно-лимонный квас,"Рецепт домашнего кваса из свежего имбиря и лимона. Имбирно-лимонный квас великолепно освежает в летнюю жару.корень имбиря, лимон, сахар, дрожжи сухие","корень имбиря, лимон, сахар, дрожжи сухие",https://img1.russianfood.com/dycontent/images_upl/140/sm_139395.jpg
11,Горячий шоколад,"Поднять себе настроение, посмотреть любимый фильм, укутавшись пледом, с кружкой любимого напитка. Готовится горячий шоколад быстро и просто (всего 3 ингредиента), а главное не дорого.молоко, шоколад, крахмал картофельный","молоко, шоколад, крахмал картофельный",https://img1.russianfood.com/dycontent/images_upl/9/sm_8009.jpg
12,Лимончелло,"Знаменитый итальянский ликер ""Лимончелло"" очень легко сделать в домашних условиях. Помещаю два варианта домашнего лимончелло - со спиртом и с водкой.лимон, спирт, сахар, вода, водка, лимон, вода, сахар","лимон, спирт, сахар, вода, водка, лимон, вода, сахар",https://img1.russianfood.com/dycontent/images_upl/37/sm_36305.jpg
